country,co2_emission,income
Jordan,0.723396721610039,10897.0
Kazakhstan,1.44406557645876,18797.0
Kenya,0.187632877875859,2358.0
Kiribati,0.13458981354229999,1803.0
Latvia,0.214076106300878,20977.0
Lebanon,0.37211775153192,14158.0
Liberia,0.4477201528492779,588.0
Libya,0.6190727249286221,29853.0
Lithuania,0.255999672735644,23223.0
Luxembourg,0.29301376939542,95001.0
"Macao, China",0.055153597271044005,80191.0
"Macedonia, FYR",0.629335380572845,10872.0
Madagascar,0.102872858090035,1528.0
Malawi,0.12006021139488,674.0
Malaysia,0.58514359291575,19968.0
Maldives,0.39162705579553203,12029.0
Mali,0.044197190812993,1602.0
Malta,0.269618328212129,27872.0
Mauritania,0.272364257006869,3356.0
Mauritius,0.26955822945298297,14615.0
Mexico,0.333615998895485,15826.0
"Micronesia, Fed. Sts.",0.195014842119124,3197.0
Moldova,0.483094144030406,3890.0
Mongolia,1.14670310165976,7563.0
Montenegro,0.29399222502090006,14183.0
Morocco,0.37897702890882895,6091.0
Mozambique,0.13358405820018598,864.0
Myanmar,0.18591410678895,2891.0
Namibia,0.311409009561572,8169.0
Nepal,0.12002592496619802,1866.0
Netherlands,0.277256684653027,47388.0
New Zealand,0.309637172463159,32122.0
Nicaragua,0.297957371318698,4060.0
Niger,0.09028390461711,843.0
Nigeria,0.326633818861092,4684.0
Norway,0.215804402837924,65216.0
Oman,0.7039389654597241,47799.0
Pakistan,0.420661560848538,4187.0
Palau,0.8274911919458291,13492.0
Panama,0.17283591826964,14033.0
Papua New Guinea,0.157983101800247,1982.0
Paraguay,0.15186549179993,6684.0
Peru,0.17874411738628102,9249.0
Philippines,0.272639133401238,5332.0
Poland,0.503809732086338,19996.0
Portugal,0.240556094643803,27747.0
Qatar,0.6361265049046851,126076.0
Romania,0.373451078589972,18032.0
Russia,0.81511208328649,22506.0
Rwanda,0.07106572025188,1173.0
Samoa,0.223415764171404,5731.0
Sao Tome and Principe,0.49624264915461297,2673.0
Saudi Arabia,0.8057030442578259,44189.0
Senegal,0.24512423323265198,2162.0
Serbia,0.6951609770219479,12522.0
Seychelles,0.404357624517079,20065.0
Sierra Leone,0.332193379050535,1289.0
Singapore,0.13904277263335402,65991.0
Slovak Republic,0.340019190524815,24670.0
Slovenia,0.31178426349992305,30816.0
Solomon Islands,0.160073816561345,1835.0
South Africa,0.9303108809465341,12263.0
Spain,0.25505714063631096,34676.0
Sri Lanka,0.13845657511095702,6907.0
Sudan,0.173151487549981,3246.0
Suriname,0.6976009804066329,13470.0
Swaziland,0.20008598465843,5887.0
Sweden,0.15510368149641401,43421.0
Switzerland,0.13840821714978,55020.0
Syria,0.807997522826496,6246.0
Tajikistan,0.264046648443752,2001.0
Tanzania,0.13038221473852302,2030.0
Thailand,0.567291478429755,12216.0
Timor-Leste,0.23450567849176399,1486.0
Togo,0.280598255030848,1219.0
Tonga,0.41381357843855,4748.0
Trinidad and Tobago,1.5528629247947499,30875.0
Tunisia,0.295921444277958,9938.0
Turkey,0.322761413099253,16454.0
Turkmenistan,1.4812411630429398,8877.0
Uganda,0.11081164379497198,1437.0
Ukraine,1.0386123248527301,8762.0
United Arab Emirates,0.48643563589925104,73029.0
United Kingdom,0.25257991890065,37739.0
United States,0.41483825405265795,50384.0
Uruguay,0.21887655652311605,15317.0
Uzbekistan,1.8627182911753002,3733.0
Vanuatu,0.10216766026337801,2944.0
Venezuela,0.5109430028767941,17911.0
Vietnam,0.57324231913098,4085.0
Zambia,0.11938862366552802,3039.0
